text,label,step
adik boy william raymond hartanto meninggal kecelakaan tunggal jogja begini kronologinya boywilliam raymondhartanto,1,train
gue ngeri bgt dah tiap liat video kecelakaan gt barusan liat trs didalam video batita gak sadar diri tengkurep main digendong aja bapak geblek bgt takut salah angkat gaksiiii hihhh,0,train
pernahkah kamu hampir tenggelam gara ali pingsan mimisan dirawat lebih minggu rs patah hati yg banget banget banget kecelakaan selfharm ak nemu tl tp gmau quote wkwkwk,0,train
kecelakaan dpigs semakin berani melampau haramkandap umatislamkenabangkit penyatuanummah,0,train
persahabatan merupakan sebuah kecelakaan eghays,0,train
kecelakaan jembatankembar idirayeuk acehtimur mobil sedang kecepatan tinggi menabrak median jembatan kembar titi baro kecamatan idi rayeuk aceh timur,1,train
mikro bus serempetan satu terguling hingga ringsek berita nusabali lakalantas kecelakaan kecamatanmelaya,1,train
dulu waktu kecil beberapa kali kecelakaan selalu langsung telpon orang rumah langsung disamperin dah gede kalau gak merasa baik yaudah balik sendiri smpe rumah nangis sendiri merawat diri sendiri dah gede mah mesti mandiri,0,train
eh lora gaga kecelakaan dmn deh,0,train
wib toljanger tangerang km kunciran km padat dampak penanganan kecelakaan kunciran km karang tengah km padat kepadatan vol lalu lintas kb jeruk tomang padat antrian gt tomang antrian lampu lalin tomang,1,train
pengendara motor diketahui identitasnya tewas kecelakaan jalan raya madiunsurabaya,1,train
bagiku keajaiban paling besar terjadi aku mengalami kecelakaan dokter mengatakan aku hampir mungkin berjalan aku sembuh lebih cepat diperkirakan heechul,0,train
jatuh cinta sebuah kecelakaan sangat indah sebaiknya alami berulang kali orang sama tidaklah selamanya bukanlah cinta,0,train
kecelakaan helikopter papua senjata tni hilang,1,train
jd inget waktu kecelakaan bis pas makrab kampus nabrak motor dpn yg isinya bapak ibu sama anaknya kecil ibu sama bapaknya meninggal ketabrak bis yg gua tumpangin dr belakang karna rem blong tp anaknya doang yg selamet gmn kabarnya skrng,0,train
aksi polisi menolong korban kecelakaan motor vs motor tersebar media sosial mendapat pujian warganet lh bagimunegeri,0,train
bagiku keajaiban paling besar terjadi aku mengalami kecelakaan dokter mengatakan aku hampir mungkin berjalan aku sembuh lebih cepat diperkirakan heechul,0,train
hujan kondisi jalanan menjadi tantangan tersendiri pengendara misalnya jalanan menjadi licin kalau hatihati kendaraan slip menjadi awal kecelakaan mengecek kendaraan,0,train
rencana allah rumah eyang otw desa pos pendakian gunung slamet ambarawa kecelakaan bersama mobil baru bagian depan mobil hancur dibawa pulang,0,train
kecelakaan jelang magrib sawitan ibuibu pemotor tewas magelang,1,train
kecelakaan ruas jalan gempol palimanan,1,train
kecelakaan maut cipularang sopir dump truk kabur,1,train
hyundai menghadirkan ai laporkan kondisi korban kecelakaan,0,train
aku badmood bgt brusan hrus buru plg rmh krn ponakan kecelakaan sekolah ponakan yg gak ad yg jagain fandom ad hama why,0,train
giat ops razia rutin tapselselasa sat lantas polres tapsel melaksanakan giat razia rutin wilkum polres tapseluntuk mengurangi angka kecelakaan wilkum polres tapselserta memberi himbauan masyarakat selalu tertib berkendera,0,train
kecelakaan parah rambut ayu terlilit kepala tersangkut mesin per lewat user,0,train
kira kira penduduk perhari bulan angka kematian akibat kecelakaan indonesia tertinggi dunia news,0,train
info kecelakaan barusan karya jaya palembang truck vs travel info kan kluarga yg dalem perjalanan menuju palembang kasih tau travel jurusan baturaja palembang yg berangkat jam an tdi siang baturaja min,1,train
namanya gamau bikin khawatir tolol bayangin aja temen lo yg kecelakaan apa yg bakal lakuin mengiba minta kasihan ngga berusaha tegar amp bilang gua gapapa think with your fucking brain jangan cuman buat pajangan kepala,0,train
jakarta kecelakaan petukangan margamandalasakti,1,train
peristiwa september hari aksara internasional kecelakaan usair tewaskan orang news taucepattanpabatas beritaterkini berita news beritanasional,1,train
emang cara ngehargain cewe diliat selaput darahnya kalo selaput darah tu cewe jebol kecelakaanlo bakalan anggep tu cewe segaberes what the fuck bitch he trusts u and u underestimate her in front of the crowd through the media bastard,0,train
akhirnya yes nomorku ditilpun orang prank kecelakaan hahahaha kuangkat kudiamkan hola halo backsound orang cekikikan kubilang kalau mau nipu gak gitu caranya eh dibalas bangst kau anjing wkwkwk,0,train
user kecelakaanjlj jatiasih km arah tmii penanganan elshintaaja,1,train
hari kamis tanggal oktober pukul wib bertempat gedung citra waspada polres dumai jalan jenderal sudirman kelurahan buluh kasap kecamatan dumai timur berlangsung sosialisasi amkkm asuransi mikro kesehatan kecelakaan meninggal dunia,1,train
beritagokil anak yg baikkk,0,train
sejauh banjir dki amp jabar isu perang dunia virus novel corona kebakaran hutan australia gempa iran amp puerto rico erupsi gunung alaska amp guatemala kobe bryant meninggal dlm kecelakaan helikopter allah januari,0,train
bus pariwisata alami kecelakaan tunggal ciater subang orang meninggal,1,train
operasi patuh sukses turunkan angkakecelakaan,0,train
toyota siapkan teknologi mencegah kecelakaan salah injak pedal,0,train
jatuh cinta sebuah kecelakaan sangat indah sebaiknya alami berulang kali orang sama tidaklah selamanya bukanlah cinta,0,train
bilang sama keluarga sekrang kloo sakit parah kecelakaan bahkan meninggalsetelah ditolong tetangga orang lewat jangan yg kbarin keluarga lo penyelamat pelindung utamayeee gaak,0,train
from discover on google,0,train
kalo kecelakaan motor mobil yg minta maap,0,train
jakarta kecelakaan tol tmii serpong elshinta,1,train
kecelakaanpembunuhanperampokan sekitarkita haruskah takuthub pin bb ccdc,0,train
analis katakanlah pemilu bukan iran menyebabkan as kecelakaan pasar saham,0,train
sebelah mengadakan audit daerah rawan kecelakaan memberikan masukan berupa perbaikan geometri beta liat provinsi,0,train
alhamdulillah allah sayang allah kasih selamat kecelakaan bus subuh tadi calon debay inshaallah sehat aamiin,0,train
diminta ketua rw urus maulid nabi kader posyandu selamat kecelakaanmaut,1,train
kecelakaan maut buntut bali renggut nyawa seorang pelajar,1,train
astaghfirullah baru nemu kecelakaan lgsg lemes allah,0,train
situ orang nyenyak tidur dsitu lah emak mau melahirkan amp yg kecelakaan ambil hikmahnya aja biar makin pinter,0,train
nyobain celana lama yg style robek bagian lututnyaa masuklah keponakan kamar aunty celana bekas aunty kecelakaan hah hahahaaa yaallah humorkuu,0,train
rasa takut kematian paling dibenarkan semua ketakutan risiko kecelakaan seseorang mati,0,train
hampir tenggelam pingsan mimisan dirawat lebih minggu rs patah hati yg banget banget banget kecelakaan selfharm,0,train
pas eunsang kecelakaan alka lupa nanyain nama minta kontak abangabang siapa sih nama cowo berponi berkacamata berlesung pipi cerita anak kutil disogok dulu nyebelin alka,0,train
bus restu sarat penumpang mengalami kecelakaan tunggal tol sidoarjo bus tersebut terguling memaksa menyalip kendaraan lewat bahu jalan kecelakaan busterguling,1,train
please enlighten me ni jadi banyak yg share video orang nabrak bus baik mau kecelakaan atas nama pembelajaran n stay berhatihati semua alias etis nga sih sampe ngeliatin jasad korban pure nanya nih,0,train
alhasil ak sawangi wong akeh dikiro ak kecelakaan shit isin e smpk tulang rusuk lanjut nyepeda eh nyawang jenazah digotong wong akeh auto eleng duso alhasil pas perjalanan moleh nyepeda e alon asal kelakon ak yo gk paham bengi iki lpo o sad,0,train
kecelakaan lalu lintas terjadi akibat pemotor gagal mendahului mobil truk jakarta utara pemotor berinsial rb tewas usai terlindas roda belakang truk,1,train
artis korea han ji seong tewas kecelakaan mobil kejanggalan terekam kamera dashboard lewat user,1,train
bismillahirrahmanirrahim minta waktunya sebentar temanteman online ku mohon doa bantuan kalian yaa temanku kea menjalani operasi akibat kecelakaan selebihnya dicek yaa,0,train
tadi nganterin ibu ketoko kejauhan w ngiranya kecelakaan,0,train
kecelakaan depan sheraton gemeter soalnya hampir kena,0,train
satu keluarga kecelakaan mobil kayuagung dwi warga palembang tewas kronologinya,1,train
kecelakaan truk muat ayam suzuki apv toyota innova jl ciamis banjar km desa pamalayan ciamis jabar dekat pool bus gapuraning rahayu user user user p natanael,1,train
kalo kecelakaan tuh jangan kerumunin dong udah bantu kagak bikin macet iya,0,train
pesinetron dylan carr lama mengalami kecelakaan fatal,1,train
menteri lhk temui keluarga korban kecelakaan sebangau,0,train
pertanggungjawaban pidana kecelakaan lalu lintas topfacebookshares klinikhukum pertanggungjawaban pidana kecelakaan lalu lintas hukumpidana,0,train
satu orang tewas kecelakaan maut jalanpasuruanprobolinggo tubuh korban sempat tergencet,1,train
bisanya kecelakaan saatku liburan,0,train
salah satu korban kecelakaan tol purbaleunyi segmen cipularang mengalami luka bakar tengah dirawat igd rs mh thamrin purwakakarta,1,train
diduga mengantuk kecelakaan maut cipularang libatkan kendaraan kenali ciriciri kantuk melanda,1,train
mencarut menjadi zikir harian membasahkan lidah bukankah allah mengingatkan hambanya bahawa mengkeji mencela perbuatan terkutuk firman allah kecelakaan besar tiaptiap pencaci pengeji alhumazah ayah daydream,0,train
kecelakaan karna semua sbg sesama manusia kecolongan sama terkait kesehatan mental orang diri sendiri,0,train
kecelakaan pesawat texas seluruh penumpang tewas via user,1,train
berawal pesta pora mabukmabukan diclub malam berakhir hilang nyawa kecelakaan hiiiiiiiii untung aku kalo mabu didalam kamar,0,train
pengguna tol berhak mendapat asuransi senilai juta rupiah kalo menyimpan struk tol amp terkena kecelakaan jalan tol simpan struk tol,0,train
korban penipuan mah ga sakit korban kecelakaan biasa tpi kalo jdi korban perasaan kmu rasanya sakit bgt,0,train
kecelakaan laut santri ponpes arrosydah satu meninggal satu hilang karangbolong,1,train
penata suara khikmawan santosa meninggal dunia kecelakaan puncak sejumlah sineas tanah air mengucapkan duka cita mendalam,1,train
korban penipuan gak sakit korban kecelakaan biasa,0,train
cegah terjadinya kecelakaan akibat jalan berlubang jalan raden intan jalur kiri menuju jalan sudirman tugu adipura bandar lampung,0,train
sebanyak orang meninggal kecelakaan beruntun tol cipularang,1,train
polsek tempeh polres lumajang patroli kewilayahan siang hari bripka rino memberikan pertolongan pertama kecelakaan ds tempeh lor,0,train
kecelakaan paling enak aku accidentally in love with you,0,train
warga minta tiang listrik tengah jalan segera dipindahkan kerap jadi penyebab kecelakaan via user,0,train
sejak diresmikan kali kecelakaan jalan tol balikpapan samarinda penyebab utamanya tribun kaltim,1,train
army kalian the best buat protect support idol kalian kecelakaan jungkook,0,train
kamis petang mobil datsun go panca tertabrak kereta api rapih dhoho melaju arah jombang surabaya regional,1,train
terjadi kecelakaan truk muatan besar tol kunciran serpong arah bitung akibatnya terjadi kepadatan lokasi kecelakaan,1,train
wib kecelakaanjapek cikarang barat km arah cikampek selesai penanganan petugas,1,train
gilagila detik kecelakaan cipularang ngeri banget yaallah semoga ga korban kecelakaan gini aamiin,0,train
hampir tenggelam pingsan mimisan dirawat lebih minggu rs patah hati yg banget banget banget kecelakaan selfharm,0,train
lawang arah surabaya macet imbas kecelakaan truk bermuatan depan pom bensin sentul tugu perbatasan lawangpurwodadi ekor kemacetan pasar lawang tetap sabar utamakan keselamatan pic user,1,train
rejeki ajal maut kecelakaan lengkoas yg nyamar ditengah tengah daging tuhan yg tau,0,train
wib toljapek karawang barat km km arah jkt padat kepadatan vol lalin karawang barat km km arah jkt padat dampak selesai penanganan kecelakaan bekasi barat cikunir padat kepadatan arah gt cikunir jatiwaringin cawang padat kepadatan vol lalin,1,train
jadi mengungkit pertanyaan tadi siang kalo truk bawa ayam kecelakaan ayamnya ikut luka ngga,0,train
seorang pelajar ditemukan tewas luka parah kepala ditempat pembuangan sampah dikawasan deli serdang sumatera utara kecelakaan tabraklari deliserdang lintasinewspagi mnctvnews,1,train
saking kerepe kecelakaan nganti akeh sing dadi sukarelawan ngandhani wongwong sing liwat ben atiati geonerations masgeo,0,train
tahun depan pemerintah halau truk gendut masuk tol saking banyaknya kecelakaan,0,train
wib toljapek karawang timur km bekasi barat km padat dampak selesai evakuasi kecelakaan kendaraan trailer alat berat lajur kiritengah gunakan jalur alternatif,1,train
putri kobe bryant tewas insiden kecelakaan helikopter ripkobebryant,1,train
acapkali kesadaran baru muncul melihat jenguk org rs kecelakaan kematian menunda acapkali penyesalan berpokir bijak mulai sekarang call wa klik,0,train
mostpopuler bus pindah lajur kecelakaan tol cipali salah siapa,1,train
wib kecelakaanpurbaleunyi darangdan km arah jakarta kendaraan box lajur kiri petugas menuju lokasi,1,train
barusan diceritain temen kalo temen papanya ikut pesugihan trus suka naro duit tenga jalan ngambil kecelakaan papanya jadi males main ama katanya takut jadiin tumbal,0,train
user kecelakaan mobil honda b ukd out control jl penjernihan dpn polsek tanah abang jakpus korban jiwa kerugian materi penanganan petugas polri infobalikelshinta,1,train
ambulan dateng kukira buat korban kecelakaan ternyata buat korban php,0,train
pernah bersihin luka px abis kecelakaan motor kaki kirinya hancur dagingnya keluaran gitu aja kalau kebayang langsung ngilu senndiri,0,train
pacaran tabung gas orang tahu kalo bahaya tetep aja laku giliran kecelakaan nyalahin ramerame,0,train
infotolljorrshk wib km b terjadi kecelakaan mobil box bawa air mineral terguling bahu lajur proses evakuasi petugas kamiuser user user,1,train
hari banyak bgt kecelakaan ngarih,0,train
info lalin tol sudiatmo bandara arah kamal terpantau padat dampak kecelakaan pick up terbalik km sebaliknya gerbang tol cengkareng arah bandara terpantau padat stoppelanggaranstopkecelakaankeselamatanuntukkemanusiaan,1,train
korban tewas kecelakaan beruntun tol cipularang bertambah jadi orang news taucepattanpabatas beritaterkini berita news beritanasional,1,train
masalah apa sih pertamax ban tire tyre kecelakaan,0,train
agensi mustb ambil tindakan hukum atas komen jahat kecelakaan mobil,0,train
baru pertama kali kecelakaan jatoh motor mental terjun bebas untungnya ku,0,train
kecelakaan kerja,0,train
jangan merasukimu gaes ops zebra semeru berlangsung stop pelanggaran stop kecelakaan keselamatan kemanusiaan lh bagimunegeri jogomadiun polrijagakamtibmas,0,train
news update pagi bus angkut turis jatuh jurang tunisia tewaskan orang sebuah bus mengangkut turis tunisia jatuh pegunungan utara negara minggu kecelakaan,1,train
antisipasi terjadinya kecelakaanmusibah pantai libur natal tim satuan brimob polda aceh,1,train
rasa takut kematian paling dibenarkan semua ketakutan risiko kecelakaan seseorang mati,0,train
pacaran tabung gas orang tahu kalo bahaya tetep aja laku giliran kecelakaan nyalahin ramerame,0,train
yth pak user user mohon diperhatikan jalur gentong sering terjadi macet kecelakaan disebabkan truk muatan lebih mudahan solusi,0,train
mungkin yg dinamakan kombinasi kecelakaan keajaiban kali ye semnjak brani mencoba yg ngga suka semakin banyak peluang yg,0,train
liyane mabuk ngantuk uga kalebu penyebab kecelakaan sing paling akeh angop,0,train
sejak kecelakaan penglihatanku jadi aneh iya aneh aku melihat sebuah benang merah jari kelingking semua orang tersambung memudar putus pendek terhubung panjang terhubung,0,train
warga twitter mohon bantuannya bapak semalam meninggal bengkulu kecelakaan ditabrak sekarang pihak bengkulu mash cari alamat dilampung mash ketemu yg cari alamat lampung tempat terakhir bapak yg sesuai ktp persinggahan,0,train
the first story hantu korban kecelakaan soreang,0,train
kecelakaanpembunuhanperampokan sekitarkita haruskah takuthub pin bb ccdc,0,train
temen kecelakaan gojek ngomelngomel katanya sepatunya sampe rusak terus gw dikirimin fotonya idk why gw ketawa beneran pas liat bentuk sepatunya like wtf,0,train
cerita mantan kekasih dengar dylan carr kecelakaan,0,train
pos pam polsek perbaungan memberikan pelayanan masyarakat melalui dinkes merawat luka pengendara mengalami kecelakaan tunggal,0,train
orang halu gitu sekarang ga jauhjauh ngaku orang kaya penyakitan luar negri kecelakaanmeninggal,0,train
topi hebat pengantisipasi kecelakaan penunjuk arah penyandang tunarungu top nasional delegasi kalimantan barat smp kristen immanuel ii sungai raya kalbe junior scientist award tingkat smp menuju,0,train
korban kecelakaan punya beberapa kesamaan samasama melengkapi surat izin mengemudi sim c samasama terluka motornya samasama rusak alamat rumah sama satu desa samasama dirawat rs bhakti husada glenmore,0,train
tiga orang tewas lainnya lukaluka akibat kecelakaan melibatkan kendaraan ruas tol cipali jawa barat minggu pagi sopir bus sempat kabur ditangkap ditetapkan tersangka rcti seputarinewsrcti,1,train
penduduk kerja berpendidikan rendah rentan kecelakaan kerja jatenggayeng,0,train
video kecelakaan fatal ciater bus pariwisata oleng terguling,1,train
bikin plan alam kubur biaya ber obat biaya kecelakaan biaya gali liang lahat biaya kain kafankembang biaya papan tebela tanda kubur biaya tenda biaya tandu ambulance biaya mandi jenajah biaya selametan catatan utang warisan catatan asuransi catatan sumbangan warga,0,train
enam orang hilang akibat kecelakaan kereta api cina,1,train
sidoarjo kecelakaan tol surabaya porong ss,1,train
kecelakaan manggarai polisi pelaku kabur mobil ditinggal detiknews,1,train
sore terjadi kecelakaan tunggal akibat meleng lihat susu,0,train
kecelakaan besarlah hari orangorang mendustakan surah almursalat,0,train
banyak berubah kecelakaan sakitnya luar biasa kampung berua lembangloe biringbulu gowa,0,train
yaampun bang romero kecelakaan nih untung gapapa mogamoga cepet pulih dah baik dirinya maupun mobilnya gwsromero,0,train
pake kecelakaan gojek segala sblm uts idup gue aja dah,0,train
semoga yg nabrak kalo kecelakaan ga yg nolongin,0,train
wib toljlj pamulang km km arah serpong padat penanganan kecelakaan lajur kiri serpong pd ranji ulujami lancar,1,train
tahun angka kecelakaan sleman cenderung naik,1,train
kecelakaan truk sering terjadi indonesia paling terakhir sebuah truk kontainer terguling rest area km tol cipularang,1,train
korban penipuan gak sakit korban kecelakaan biasa,0,train
giat anggota lantas laksanakan ops rutin meningkatkan disiplin berlalu lintas menangkal angka kecelakaan,0,train
korban kecelakaan hingga tsunami cuma korban janji gabisa dievakuasi,0,train
jakarta kecelakaan tol tmii serpong elshinta,1,train
korban penipuan mah ga sakit korban kecelakaan biasa tpi kalo jdi korban perasaan kmu rasanya sakit pake bgt,0,train
kecelakaan maut siak satu unit mobil pajero sport ringsek pengemudinya meninggal,1,train
bagiku keajaiban paling besar terjadi aku mengalami kecelakaan dokter mengatakan aku hampir mungkin berjalan aku sembuh lebih cepat diperkirakan heechul,0,train
minggu lalu liat kecelakaan motor sama bus didepan mata alhasil sampe sekarang kagetan kalo liat motor mepetmepet kendaraan,0,train
gunakan jalur sesuai ketentuan jangan melawan arus krn rawan kecelakaan kesadaran keselamatan semua,0,train
ngeri,0,train
sayangi nyawa amp orang jangan sia siakan nyawa melayang jalan berperilaku amp beretika tertib berlalu lintas upaya menekan angka kecelakaan dg aturan yg berlaku keselamatan no,0,train
info awal kecelakaan beruntun melibatkan tiga kendaraan tol porong sidoarjo km lajur kiri lokasi hujan deras jarak pandang terbatas odprt,1,train
genset pemanas air listrik water heater colokan listrik amp ceklekan lampu sumber kecelakaan fatal merenggut nyawa rumah sendiri mohon berhatihati amp selalu pastikan semua aman dinyalakan,0,train
kecelakaan maros seorang warga asal gowa meninggal dunia,1,train
sebuah bus arah bandung mengalami kecelakaan lalu lintas ruas tol cipularang km tepatnya desa pasir munjul kecamatan sukatani kabupaten purwakarta selasa sekira pukul wib,1,train
suka kesel orang yg ngevideoin kecelakaan bukannya nolongin padahal disitu korban butuh evakuasi langsung bergerak mlah sibuk ngevideo astagfirullah maaf emosi,0,train
just in case abis mau ngonten cerita horror dr kecelakaan,0,train
pas pulang ngampus aku menung dijalan apa coba yg dipikirkan memikirkan judul menghapal pasal masalah doi pendaftaran kuliah anes berkas anes sampe tetiba didepan mata ku terjadi kecelakaan lamunan ku buyar langsung sadar mengucap,0,train
resto hb plg sukses dg layanan go foodnyaantrean driver mengular sabar menunggusedih melihat anak bangsa tak sedikit sarjana bekerja jaminan kesehatan jaminan kecelakaan kerja wish new president new hope for better future of us,0,train
pemain basket terbaik dunia beserta putrinya tutup usia penyebabnya kecelakaan udara california hadir idola menemani semangat banyak anak masa muda seorang atlit sekaligus ayah bijaksana terimakasih legenda kobebryant,0,train
bupati lamandau sambangi korban kecelakaan bus yessoe rumah sakit,1,train
wib kecelakaanjagorawi gn putri km arah ciawi penanganan petugas lajur kiri,1,train
kalo memang santet harusnya yg berani nangkap baru mau ditangkap polisinya tiba kecelakaan sakit keras,0,train
pahami mekanisme airbag semua kecelakaan bisamengembang,0,train
polisi begini kronologi kecelakaan bus peziarah mangli ngablak magelang,1,train
bandung kecelakaan gt kopo tmc,1,train
boeing co memecat ceo dennis muilenburg berulang kali gagal menahan dampak kecelakaan fatal boeing max,0,train
jadi inget dl temen gw kecelakaan dkt bengkel tongkrongan terus bagian berdarah disuruh disiram pake minyak rem biar cepet kering gw sama tmn gw bahkan sama abis kecelakaan kayak wtf beruntung gak efek aneh jangan ditiru,0,train
wib kecelakaanpurbaleunyi cikamunign km arah cileunyi kendaraan pick up lajur kanan penanganan petugas,1,train
jakarta kecelakaan meruya margamandalasakti,1,train
user kunciran km km arah bitung padat penanganan kecelakaan kendaraan truk fuso bahu jalan,1,train
korban kecelakaan dikarenakan terpeleset penyebab nya mengepel lantai yg terlalu basah kegoblokanunfaedah,0,train
beredarnya informasi adanya seorang mahasiswa papua surabaya meninggal dunia akibat dipukul aparat tnipolri hoax benar foto tersebut foto korban kecelakaan lalu lintas meninggal tkp laka lantas jalan trikora,0,train
agensi kabari kondisi kwill usai alami kecelakaan mobil,0,train
kecelakaan beruntun mobil avanza putih n innova d tol kota arah surabaya km bagian depan innova ringsek user user user,1,train
akibat rem blong kecelakaan lalu lintas rujak asem bejen sebabkan orang luka,1,train
kecelakaan truk terguling muatan pisang mobil innova terbakar ruas tol pandaanmalang km petugas kepolisian penanganan rabu siang muf infobalikelshinta,1,train
kalo denger kata banjir tuh rasanya takut bukan banjirnya sendiri keadaan gw kecelakaan pas banjir selama tahun trauma paling parah sampe liat mobil setipe sama kaya mobil gw aja jalan dengkul gw ngerasa lemes,0,train
aku ikut terharu teman ku mengalami kecelkaan ternyata begini rasanya kecelakaan,0,train
bryant menghabiskan seluruh karier bersama la lakers total berseragam lakers selama tahun,0,train
hambatan sering ditemukan pelaksanaan k tersebut,0,train
empat fakta kecelakaan menewaskan orang ciater subang,1,train
shame on you user user user user cc user keluarga korban kecelakaan lion air jt tolak santunan rp miliar alasannya,0,train
kecelakaan maut,0,train
wib kecelakaanjagorawi cibubur km arah cawang penanganan,1,train
pengamat kok nalarnya gitu sekedar ikut trend kekinian apaapa taripnya naik,0,train
ponakanku kecelakaan parah bgt sama sodaraku dikirimin foto pasca kecelakaan bener gaberani bukaa tau dikirimin padahal aku cuma nanya keadaan pasca operasi tuh gimana malah dikirimin foto pasca kecelakaan,0,train
pernahkah kamu hampir tenggelam pingsan mimisan dirawat lebih minggu rs patah hati yg banget banget banget kecelakaan selfharm,0,train
dylan carr dirawat intensif usai kecelakaan kondisinya stabil,1,train
papa gw tabrakan abis dr flyover senen kmaren trs hari ngambil motor yg servis kata org yg nolongin situ udh kayak x terjadi kecelakaan tempat yg sama,1,train
tewaskan orang kecelakaan boss boeing minta maaf,1,train
wib tolctc rawa bokor km cengkareng km padat dampak selesai penanganan kecelakaan kamal jalur atas kapuk padat kepadatan volume lalin,1,train
makin meningkat usia makin malas melayan karenah manusiatapi bila sik ambik peduli makin menjadi nya mengumpat kitakecelakaan,0,train
pasar banyak sekali orang menceritakan kecelakaan kemistisan keanehan kegaduhan kegilaan tps pilkades kemarin aku diam mendengarkan seksama,0,train
minibus travel tabrak truk tol cipularang purwakarta orang tewas kecelakaan mnibus travel cipularang seputarinewssiang seputarinewsrcti,1,train
woozi aku gak tau suka sama woozi semua kecelakaan,0,train
abis kecelakaan dimna lo gue gk kecelakaan kok aman aja trus knapa muka lo ancur sabar muka jelek emang banyak cobaan,0,train
kecelakaan mobil lee kwang soo absen syuting runningman,1,train
hampir tenggelam pingsan mimisan dirawat lebih minggu rs patah hati yg banget banget banget kecelakaan selfharm,0,train
akibat kecelakaan,0,train
hari ngator bawa mobil pake kreta apes kecelakaan semua jalur alternative koq interstate kecelakaan jadi menghindar eh jalan arterial jam menit kantor,0,train
begini kronologis seorang pengendara motor tewas kecelakaan sengon eromoko wonogiri,1,train
tadi jalan sama om terus tb tb ad kecelakaan jalan,0,train
sopir diduga ngantuk truk terguling jembatan yeh nu berita nusabali kecelakaan lakalantas polsektabanan,1,train
i would like to advise all my friends yg taknak mata tgk kecelakaan dunia main twitter for like days,0,train
bulan k nasional tahun hi coalmate sesuai arahan menteri ketenagakerjaan ida fauziyah kecelakaan kerja menyebabkan kematian kerugian materi moril amp pencemaran lingkungan mempengaruhi produktivitas amp kesejahteraan masyarakat,0,train
anggota polisi sidimpuan alami kecelakaan pegamanan pemilu via user,1,train
sidoarjo kecelakaan tol pandaan ss,1,train
jatuh cinta sebuah kecelakaan sangat indah sebaiknya alami berulang kali orang sama tidaklah selamanya bukanlah cinta,0,train
jatuh cinta sebuah kecelakaan sangat indah sebaiknya alami berulang kali orang sama tidaklah selamanya bukanlah cinta,0,train
tadi malem ban mobil selip selip nya ga kalengkaleng mau mundurmaju bakal keguling malemmalem ga lampu jalan tanjakan dikit orang lewat jalan disitu ku merasa kalo kecelakaan dekat,0,train
